agenda,category,closingQuote,date,featured,fullDescription,guestSpeakers,hosts,id,location_city,location_country,location_state,presenters,shortDescription,thumbnail,time,title,venue
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Create Now Events,Consistency turns creative sparks into a body of work that compounds over time.,2026-04-15,false,"Create Now Houston is a community-forward event with structured learning and real examples. The agenda covers brand-consistent production systems alongside AI-assisted ideation and iteration, with time for Q&A and discussion. Bring an active project and leave with a plan you can use the next day.","[{""name"":""Elena Park"",""designation"":""Guest Speaker - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""},{""name"":""Ethan Cole"",""designation"":""Guest Speaker - Content Creator"",""bio"":""Ethan produces educational creative content across video, newsletters, and live workshops. He helps emerging creators build sustainable publishing habits."",""avatar"":""assets/images/profiles/ethan-cole-creator.jpg""}]","[{""name"":""Ariana Flores"",""designation"":""Host - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""},{""name"":""Noah Bennett"",""designation"":""Host - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""}]",event-001,Houston,USA,TX,"[{""name"":""Sofia Diaz"",""designation"":""Presenter - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""},{""name"":""Priya Raman"",""designation"":""Presenter - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""}]",A creator-focused day in Houston centered on AI-assisted ideation and iteration and creative workflows at scale.,assets/images/events/create-now-houston.jpg,10:00 AM - 4:00 PM Local Time,Create Now Houston,Houston Convention Center
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Create Now Events,Consistency turns creative sparks into a body of work that compounds over time.,2026-04-23,false,"Create Now Kansas City Design Week brings creators and teams together for a hands-on program. You will explore content operations and handoffs, then apply creative workflows at scale through a practical walkthrough. Hosted at Kansas City Convention Center, the day includes time to connect with peers and compare approaches.","[{""name"":""Noah Bennett"",""designation"":""Guest Speaker - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""},{""name"":""Ethan Cole"",""designation"":""Guest Speaker - Content Creator"",""bio"":""Ethan produces educational creative content across video, newsletters, and live workshops. He helps emerging creators build sustainable publishing habits."",""avatar"":""assets/images/profiles/ethan-cole-creator.jpg""}]","[{""name"":""Malik Thompson"",""designation"":""Host - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""},{""name"":""Sofia Diaz"",""designation"":""Host - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]",event-002,Kansas City,USA,MO,"[{""name"":""Ariana Flores"",""designation"":""Presenter - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""},{""name"":""Elena Park"",""designation"":""Presenter - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""}]",A creator-focused day in Kansas City centered on brand-consistent production systems and content operations and handoffs.,assets/images/events/create-now-kansas-city-design-week.jpg,10:00 AM - 4:00 PM Local Time,Create Now Kansas City Design Week,Kansas City Convention Center
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Create Now Events,Consistency turns creative sparks into a body of work that compounds over time.,2026-05-19,true,"Create Now Philadelphia brings creators and teams together for a hands-on program. Sessions focus on creative workflows at scale and brand-consistent production systems, with demos and guided exercises. Hosted at Philadelphia Convention Center, the day includes time to connect with peers and compare approaches.","[{""name"":""Ethan Cole"",""designation"":""Guest Speaker - Content Creator"",""bio"":""Ethan produces educational creative content across video, newsletters, and live workshops. He helps emerging creators build sustainable publishing habits."",""avatar"":""assets/images/profiles/ethan-cole-creator.jpg""},{""name"":""Malik Thompson"",""designation"":""Guest Speaker - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""}]","[{""name"":""Priya Raman"",""designation"":""Host - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""},{""name"":""Noah Bennett"",""designation"":""Host - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""}]",event-003,Philadelphia,USA,PA,"[{""name"":""Sofia Diaz"",""designation"":""Presenter - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""},{""name"":""Elena Park"",""designation"":""Presenter - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""}]",A creator-focused day in Philadelphia centered on brand-consistent production systems and faster delivery with fewer revisions.,assets/images/events/create-now-philadelphia.jpg,10:00 AM - 4:00 PM Local Time,Create Now Philadelphia,Philadelphia Convention Center
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Create Now Events,Consistency turns creative sparks into a body of work that compounds over time.,2026-06-03,false,"Create Now San Francisco Design Week brings creators and teams together for a hands-on program. The agenda covers AI-assisted ideation and iteration alongside brand-consistent production systems, with time for Q&A and discussion. Hosted at San Francisco Convention Center, the day includes time to connect with peers and compare approaches.","[{""name"":""Ethan Cole"",""designation"":""Guest Speaker - Content Creator"",""bio"":""Ethan produces educational creative content across video, newsletters, and live workshops. He helps emerging creators build sustainable publishing habits."",""avatar"":""assets/images/profiles/ethan-cole-creator.jpg""},{""name"":""Luca Moretti"",""designation"":""Guest Speaker - 3D Artist"",""bio"":""Luca designs materials and environments for product visualization and immersive storytelling. He focuses on reliable pipelines from concept to final render."",""avatar"":""assets/images/profiles/luca-moretti-creator.jpg""}]","[{""name"":""Noah Bennett"",""designation"":""Host - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""},{""name"":""Ariana Flores"",""designation"":""Host - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""}]",event-004,San Francisco,USA,CA,"[{""name"":""Sofia Diaz"",""designation"":""Presenter - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""},{""name"":""Priya Raman"",""designation"":""Presenter - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""}]","Create Now San Francisco Design Week: practical sessions on AI-assisted ideation and iteration, plus collaboration and review loops.",assets/images/events/create-now-san-francisco-design-week.jpg,10:00 AM - 4:00 PM Local Time,Create Now San Francisco Design Week,San Francisco Convention Center
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Create Now Events,"Great 3D work is equal parts craft, structure, and relentless iteration.",2026-05-20,false,"Create Now New York is designed for people who want practical, repeatable workflows. You will explore faster delivery with fewer revisions, then apply content operations and handoffs through a practical walkthrough. Bring an active project and leave with a plan you can use the next day.","[{""name"":""Priya Raman"",""designation"":""Guest Speaker - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""},{""name"":""Luca Moretti"",""designation"":""Guest Speaker - 3D Artist"",""bio"":""Luca designs materials and environments for product visualization and immersive storytelling. He focuses on reliable pipelines from concept to final render."",""avatar"":""assets/images/profiles/luca-moretti-creator.jpg""}]","[{""name"":""Ariana Flores"",""designation"":""Host - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""},{""name"":""Sofia Diaz"",""designation"":""Host - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]",event-005,New York,USA,NY,"[{""name"":""Noah Bennett"",""designation"":""Presenter - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""},{""name"":""Elena Park"",""designation"":""Presenter - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""}]","Create Now New York: practical sessions on AI-assisted ideation and iteration, plus creative workflows at scale.",assets/images/events/create-now-new-york.jpg,10:00 AM - 4:00 PM Local Time,Create Now New York,New York Convention Center
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Create Now Events,"Great design is not just what we make, it is how we help others create with clarity and confidence.",2026-05-21,false,"Adobe Create Now Toronto is a community-forward event with structured learning and real examples. You will explore faster delivery with fewer revisions, then apply brand-consistent production systems through a practical walkthrough. You will leave with reusable templates, a checklist, and a clear next step.","[{""name"":""Ariana Flores"",""designation"":""Guest Speaker - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""},{""name"":""Priya Raman"",""designation"":""Guest Speaker - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""}]","[{""name"":""Malik Thompson"",""designation"":""Host - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""},{""name"":""Sofia Diaz"",""designation"":""Host - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]",event-006,Toronto,Canada,ON,"[{""name"":""Noah Bennett"",""designation"":""Presenter - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""},{""name"":""Ethan Cole"",""designation"":""Presenter - Content Creator"",""bio"":""Ethan produces educational creative content across video, newsletters, and live workshops. He helps emerging creators build sustainable publishing habits."",""avatar"":""assets/images/profiles/ethan-cole-creator.jpg""}]","Adobe Create Now Toronto: practical sessions on creative workflows at scale, plus content operations and handoffs.",assets/images/events/adobe-create-now-toronto.jpg,10:00 AM - 4:00 PM Local Time,Adobe Create Now Toronto,Toronto Convention Center
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Creative Cafe Events,Movement gives ideas momentum; intention gives that momentum meaning.,2026-05-27,true,"Adobe Creative Cafe Chicago brings creators and teams together for a hands-on program. Sessions focus on quick tips and mini demos and creative process show-and-tell, with demos and guided exercises. You will leave with reusable templates, a checklist, and a clear next step.","[{""name"":""Ethan Cole"",""designation"":""Guest Speaker - Content Creator"",""bio"":""Ethan produces educational creative content across video, newsletters, and live workshops. He helps emerging creators build sustainable publishing habits."",""avatar"":""assets/images/profiles/ethan-cole-creator.jpg""}]","[{""name"":""Elena Park"",""designation"":""Host - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""},{""name"":""Sofia Diaz"",""designation"":""Host - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]",event-007,Chicago,USA,IL,"[{""name"":""Ariana Flores"",""designation"":""Presenter - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""}]",A creator-focused day in Chicago centered on storytelling and craft and portfolio feedback and critique.,assets/images/events/adobe-creative-cafe-chicago.jpg,10:00 AM - 4:00 PM Local Time,Adobe Creative Cafe Chicago,Chicago Convention Center
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Creative Cafe Events,Research is most powerful when it turns uncertainty into shared creative direction.,2026-06-10,false,"Adobe Creative Cafe New York is designed for people who want practical, repeatable workflows. The agenda covers quick tips and mini demos alongside community networking, with time for Q&A and discussion. Hosted at New York Convention Center, the day includes time to connect with peers and compare approaches.","[{""name"":""Priya Raman"",""designation"":""Guest Speaker - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""}]","[{""name"":""Ariana Flores"",""designation"":""Host - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""},{""name"":""Sofia Diaz"",""designation"":""Host - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]",event-008,New York,USA,NY,"[{""name"":""Elena Park"",""designation"":""Presenter - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""}]",Join us for Adobe Creative Cafe New York featuring community networking and quick tips and mini demos.,assets/images/events/adobe-creative-cafe-new-york.jpg,10:00 AM - 4:00 PM Local Time,Adobe Creative Cafe New York,New York Convention Center
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Creative Cafe Events,"When interfaces feel effortless, teams can spend their energy on ideas instead of obstacles.",2026-05-15,false,"Adobe Creative Cafe @ CCA San Francisco brings creators and teams together for a hands-on program. You will explore storytelling and craft, then apply quick tips and mini demos through a practical walkthrough. Hosted at San Francisco Convention Center, the day includes time to connect with peers and compare approaches.","[{""name"":""Malik Thompson"",""designation"":""Guest Speaker - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""}]","[{""name"":""Ariana Flores"",""designation"":""Host - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""},{""name"":""Sofia Diaz"",""designation"":""Host - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]",event-009,San Francisco,USA,CA,"[{""name"":""Priya Raman"",""designation"":""Presenter - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""}]","Adobe Creative Cafe @ CCA San Francisco: practical sessions on quick tips and mini demos, plus portfolio feedback and critique.",assets/images/events/adobe-creative-cafe-cca-san-francisco.jpg,10:00 AM - 4:00 PM Local Time,Adobe Creative Cafe @ CCA San Francisco,San Francisco Convention Center
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Creative Cafe Events,"A single image can hold a story, but a thoughtful system helps that story travel everywhere.",2026-06-20,false,"In Online / Multiple Locations, Adobe Creative Cafe Portfolio Review Series is designed for people who want practical, repeatable workflows. Sessions focus on building sustainable creative habits and storytelling and craft, with demos and guided exercises. Bring an active project and leave with a plan you can use the next day.","[{""name"":""Noah Bennett"",""designation"":""Guest Speaker - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""}]","[{""name"":""Malik Thompson"",""designation"":""Host - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""},{""name"":""Sofia Diaz"",""designation"":""Host - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]",event-010,Online / Multiple Locations,Global,N/A,"[{""name"":""Elena Park"",""designation"":""Presenter - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""}]","Adobe Creative Cafe Portfolio Review Series in Online / Multiple Locations: practical sessions on storytelling and craft, plus quick tips and mini demos.",assets/images/events/adobe-creative-cafe-portfolio-review-series.jpg,10:00 AM - 2:00 PM Local Time,Adobe Creative Cafe Portfolio Review Series,Virtual + Regional Community Hubs
